                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.1352,                0.62829,                 1.0254,                0.67167,                 0.7175,                0.65499,                0.42211,                 1.9098,                 1.3263,                 1.5371,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1033,                0.61629,                 1.0124,                0.62662,                0.71628,                 0.6151,                0.40068,                 1.9512,                 1.3875,                 1.5867,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1296,                0.63686,                 1.0207,                  0.701,                0.66458,                 0.6328,                0.39897,                 1.9441,                 1.4024,                 1.6008,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1045,                0.61984,                 1.0077,                0.67725,                0.58168,                0.56509,                 0.3595,                 1.9711,                 1.3839,                 1.6404,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0987,                0.60264,                 1.0073,                0.70045,                0.61705,                0.59024,                0.38096,                 1.9418,                 1.3573,                 1.6301,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1001,                  0.601,                 1.0008,                0.65992,                0.66478,                0.62779,                0.40524,                 1.9061,                 1.3099,                 1.5828,               0.000467,               0.000467,               0.000467
                     71,                 1.1179,                0.61898,                 1.0165,                0.64478,                0.67828,                0.62595,                0.42666,                 1.8844,                 1.2784,                 1.5432,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0497,                 0.5861,                 1.0035,                0.69932,                0.63173,                0.64203,                0.41693,                 1.8716,                 1.2276,                 1.5341,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0604,                0.57379,                0.99689,                0.64652,                0.72564,                0.64823,                0.40423,                 1.9081,                 1.2264,                 1.5436,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0813,                0.60357,                 1.0036,                0.62311,                 0.7174,                0.61488,                0.36865,                 1.9187,                 1.2205,                 1.5667,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0266,                0.56562,                0.98187,                0.73856,                 0.6136,                0.61712,                0.38373,                 1.8745,                 1.2389,                  1.552,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0511,                0.58478,                 1.0079,                0.62312,                0.68562,                0.63058,                0.42061,                 1.8961,                 1.2643,                 1.5796,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0315,                0.57938,                0.98768,                0.69258,                0.59639,                0.64759,                0.43028,                 1.9066,                 1.2484,                 1.5667,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.0364,                0.57563,                0.98632,                0.62219,                0.66972,                0.62939,                0.41912,                 1.9136,                 1.2711,                 1.5368,             0.00035382,             0.00035382,             0.00035382
